Title,tags
Apocalypse Now,drama war martinsheen fredericforrest alberthal francisfordcoppola at height vietnam war captain benjamin willard sent danger mission that offici doe exist ever exist hi goal locat elimin mysteri green beret colonel name walter kurtz lead person armi illeg guerrilla mission enemi territori guerrillawarfar epic vietnamwar journalist mission vietnam vietcong centralintelligenceagencycia cambodia armi drugabus basedonnovelorbook secretmiss insan surreal tribe greenberet jungl descentintomad brutal riverboat militari antiwar
The Intouchables,drama comedi françoiscluzet omarsi dominiquehenri laurentzeitoun a true stori two men never met – quadripleg aristocrat injur paraglid accid young man project friendship malefriendship basedontruestori masseus aristocrat paraglid interracialfriendship unlikelyfriendship duringcreditssting quadripleg quadriplegia feelgood intouch
It's a Wonderful Life,drama famili fantasi jamesstewart donnare lionelbarrymor frankcapra a holiday favourit gener georg bailey spent entir life give peopl bedford fall all prevent rich skinflint mr potter take entir town georg modest build loan compani but christma eve businesss 8000 lost georg troubl begin smalltown angel suicideattempt holiday bank greatdepress familybusi nervousbreakdown oldhous newlyw magicr toldinflashback alternativer guardianangel highschoold christma sincer
Paths of Glory,war drama histori kirkdougla ralphmeek adolphemenj jamesbharri a command offic defend three scapegoat trial fail offens occur within french armi 1916 armi franc basedonnovelorbook gener germani worldwari patriot cowardic ideal idealist blackandwhit soldier antiwar 1910 fightingthesystem
Miracle in Cell No. 7,drama arasbuluti̇ynemli nisasofiyaaksongur i̇lkeraksum mehmetadaöztekin separ daughter father intellectu disabl must prove innoc jail death command child parentchildrelationship prisoncel remak wrongfulimprison basedonmovi mentallychalleng
Five Feet Apart,romanc drama haleylurichardson colesprous moisésaria justinbaldoni seventeenyearold stella spend time hospit cystic fibrosi patient her life full routin boundari selfcontrol — get put test meet will imposs charm teen ill there instant flirtat though restrict dictat must maintain safe distanc them as connect intensifi temptat throw rule window embrac attract forbiddenlov terminalil hospit bestfriend fallinginlov cysticfibrosi starcrossedlov firstdat truelov teenag
Given,anim drama music romanc takuyaeguchi masatomonakazawa shogoyano hikaruyamaguchi the relationship band bassist drummer drummer’ roommat exboyfriend profession violinist highschool lovetriangl bisexu sliceoflif tragedi basedonmanga relationship lgbt anim gayrelationship boyslovebl band
Life in a Year,drama romanc jadensmith caradelevingn cubagoodingjr mitjaokorn a 17 year old find girlfriend die set give entir life last year left
"Josee, the Tiger and the Fish",anim drama romanc taishinakagawa kayakiyohara yumemiyamoto kotarotamura with dream dive abroad tsuneo get job assist jose artist whose imagin take far beyond wheelchair but tide turn them push place never thought possibl inspir love fit storybook parapleg love sliceoflif relationship basedonshortstori disabl anim
"The Boy, the Mole, the Fox and the Horse",anim famili adventur fantasi judecowardnicol tomholland idriselba peterbaynton the unlik friendship boy mole fox hors travel togeth boy search home friendship hope fox hors basedonchildrensbook kind famili candid handdrawnanim shortfilm courag appreci dignifi hope
The Legend of 1900,drama music timroth pruitttaylorvinc mélaniethierri giuseppetornator the stori virtuoso piano player live entir life aboard ocean liner born rais ship 1900 tim roth learn outsid world interact passeng never set foot land even love life year later ship may destroy former band member fear 1900 may still aboard will go ship ship ocean music pianistin childprodigi fondl
Come and See,drama war alekseikravchenko olgamironova liubomiraslauceviciu elemklimov the invas villag byelorussia german forc send young florya forest join weari resist fighter famili wish there meet girl glasha accompani back villag on return home florya find famili fellow peasant massacr hi continu surviv amidst brutal debri war becom increasingli nightmarish battl despair hope nazi warcrim insan worldwarii surreal wehrmacht teenagegirl atroc genocid russianarmi minefield horrorsofwar prematureag byelorussia childreninwartim
The Lion King,famili anim drama matthewbroderick moirakelli nathanlan rogeral a young lion princ cast pride cruel uncl claim kill father while uncl rule iron paw princ grow beyond savannah live philosophi no worri rest day but past come haunt him young princ must decid fate will remain outcast face demon becom need be fathermurd lossoflovedon africa lion manipul villain redempt music uncl murder warthog shaman king scar famili hyena meerkat natur mandril inspir power
Oldboy,drama thriller mysteri action choiminsik yoojita kanghyejung sydlim with clue came imprison drug tortur 15 year desper man seek reveng captor daughter rageandh hostil transform imprison darkcomedi hypnosi sushirestaur notebook time sin alcohol flashback reveng loneli tortur basedonmanga urin rage anger cathol incest shock aggress captiv neonoir fatherdaughterrelationship asianorigin remad southkorea hammer driventosuicid tragic
